name,job_role,attendance,department,Post,Equity(in %),Experience(in years),nClients,test_scores(out of 100),skills,salary(in rs)
Devanesan Goel,Accountant,90,Finance and Accounting,Mid-Level/Intermediate,0.69,6.0,2,48,"Time Management and Organization} , {Analytical and Critical Thinking} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Continuous Learning and Keeping up with Regulatory Changes} , {Auditing and Internal Controls} , {Cash Flow Management} , {Budgeting and Forecasting} , {Teamwork and Collaboration} , {Financial Modeling} , {Financial Analysis and Reporting} , {Financial Statement Preparation",101000
Mihir Ahuja,Network Administrator,77,Information Technology (IT),Senior/Lead,0.02,8.2,26,65,"Communication and Collaboration} , {Programming and Software Development} , {System Administration} , {Customer Service and Relationship Management} , {Database Management} , {Network and Infrastructure Management} , {Problem Solving and Critical Thinking} , {IT Troubleshooting and Support} , {Leadership and Team Management} , {Continuous Learning and Professional Development} , {IT Project Management} , {Cybersecurity and Data Protection",123000
Ninny Sharma,Systems Analyst,79,Information Technology (IT),Associate/Specialist,0.88,1.3,3,60,"IT Service Management} , {Communication and Collaboration} , {Customer Service and Relationship Management} , {Database Management} , {Network and Infrastructure Management} , {IT Troubleshooting and Support} , {IT Governance and Compliance} , {Cloud Computing} , {Leadership and Team Management} , {Cybersecurity and Data Protection} , {Analytical and Data Interpretation Skills",86000
Alka Singh,Account Manager,84,Sales and Marketing,Senior/Lead,0.07,6.8,24,57,"Relationship Building and Networking} , {Sales Forecasting and Planning} , {Product/Service Positioning and Branding} , {Negotiation and Persuasion} , {Sales Analytics and Reporting} , {Teamwork and Collaboration} , {Strategic Thinking and Planning} , {Customer Relationship Management (CRM)} , {Time Management and Prioritization} , {Advertising and Promotions} , {Problem Solving and Decision Making",188000
Ekalinga Choudhary Yadav,Legal Assistant,80,Legal and Compliance,Associate/Specialist,0.71,1.4,5,83,"Analytical and Critical Thinking} , {Adaptability and Flexibility} , {Regulatory Compliance} , {Attention to Detail} , {Risk Assessment and Management} , {Contract Drafting and Review} , {Intellectual Property Rights} , {Problem Solving and Decision Making} , {Data Privacy and Protection} , {Corporate Governance",64000
Banhi Chauhan,Scrum Master,87,Project Management,Mid-Level/Intermediate,0.69,4.7,10,31,"Project Monitoring and Control} , {Resource Allocation and Management} , {Project Planning and Scheduling} , {Risk Management} , {Budgeting and Financial Management} , {Contract and Procurement Management} , {Stakeholder Management} , {Communication and Negotiation Skills} , {Reporting and Documentation} , {Leadership and Team Management} , {Problem Solving and Decision Making} , {Conflict Resolution",94000
Alok Biswas,Regulatory Affairs Specialist,75,Legal and Compliance,Senior/Lead,0.68,5.5,12,94,"Mergers and Acquisitions} , {Legal Research and Analysis} , {Time Management and Organization} , {Analytical and Critical Thinking} , {Employment Law and Labor Regulations} , {Litigation and Dispute Resolution} , {Attention to Detail} , {Teamwork and Collaboration} , {Ethical Conduct and Professionalism} , {Contract Drafting and Review} , {Risk Assessment and Management} , {Intellectual Property Rights} , {Communication and Negotiation Skills} , {Corporate Governance",95000
Balabhadra Bajwa,Call Center Supervisor,78,Customer Support,Associate/Specialist,0.86,3.2,4,47,"Product Knowledge} , {Conflict Resolution and Diplomacy} , {Customer Data Management} , {Knowledge Base and Self-Service Platforms} , {Problem Solving and Critical Thinking} , {Adaptability and Flexibility} , {Communication and Active Listening} , {Communication Tools (e.g., Live Chat, Email)",58000
Dayanand Iyer Srinivasan,Brand Manager,76,Sales and Marketing,Mid-Level/Intermediate,0.03,3.3,12,86,"Social Media Marketing} , {Sales Forecasting and Planning} , {Product/Service Positioning and Branding} , {Negotiation and Persuasion} , {Sales Analytics and Reporting} , {Sales Funnel Management} , {Teamwork and Collaboration} , {Communication and Interpersonal Skills} , {Customer Relationship Management (CRM)} , {Market Research and Analysis} , {Advertising and Promotions} , {Problem Solving and Decision Making",128000
Vanita Khan Siddiqui,Training and Development Manager,80,Human Resources (HR),Mid-Level/Intermediate,0.64,4.9,4,96,"Business Acumen and Strategic Thinking} , {Problem Solving and Decision Making} , {Training and Development} , {Employee Relations and Conflict Resolution} , {Ethical and Professional Conduct} , {Employee Engagement and Retention} , {Communication and Interpersonal Skills} , {HR Compliance and Legal Knowledge} , {Empathy and Emotional Intelligence} , {Adaptability and Flexibility} , {Employee Onboarding and Offboarding} , {HRIS (Human Resources Information System) Management",102000
Jasleen Chandra,Customer Service Representative,42,Customer Support,Entry Level/Junior,0.44,0.7,0,91,"Product Knowledge} , {Quality Assurance and Call Monitoring} , {Knowledge Base and Self-Service Platforms} , {Remote Desktop and Screen Sharing} , {Troubleshooting and Problem Solving",48000
Drisana Kumar,Tax Specialist,75,Finance and Accounting,Mid-Level/Intermediate,0.74,3.8,1,68,"Communication and Presentation Skills} , {ERP (Enterprise Resource Planning) System Proficiency} , {Problem Solving and Decision Making} , {Risk Management and Analysis} , {Adaptability and Flexibility} , {Continuous Learning and Keeping up with Regulatory Changes} , {Attention to Detail} , {Cash Flow Management} , {Financial Modeling} , {Financial Statement Preparation",95000
Charun Bhatt,Supply Chain Manager,91,Operations,Senior/Lead,0.53,8.8,27,87,"Supply Chain Management} , {Process Optimization and Efficiency} , {Quality Control and Assurance} , {Logistics and Transportation} , {Adaptability and Flexibility} , {Risk Management} , {Continuous Improvement Mindset} , {Negotiation and Conflict Resolution} , {Inventory Management} , {Communication and Collaboration} , {Lean Six Sigma} , {Problem Solving and Decision Making} , {Cost Analysis and Budgeting",273000
Kanan Goel,Training and Development Manager,94,Human Resources (HR),Associate/Specialist,0.91,3.9,5,31,"Time Management and Organization} , {Problem Solving and Decision Making} , {Recruitment and Selection} , {Employee Relations and Conflict Resolution} , {Ethical and Professional Conduct} , {Employee Engagement and Retention} , {Empathy and Emotional Intelligence} , {Performance Management} , {Adaptability and Flexibility} , {Employee Onboarding and Offboarding} , {HRIS (Human Resources Information System) Management",82000
Ishara Joshi,Auditor,91,Finance and Accounting,Associate/Specialist,0.97,2.6,1,36,"Communication and Presentation Skills} , {ERP (Enterprise Resource Planning) System Proficiency} , {Problem Solving and Decision Making} , {Analytical and Critical Thinking} , {Tax Planning and Compliance} , {Continuous Learning and Keeping up with Regulatory Changes} , {Auditing and Internal Controls} , {Ethical Conduct and Professionalism} , {Cost Accounting} , {Financial Modeling} , {Financial Analysis and Reporting} , {Financial Statement Preparation",83000
Sanjiv Purohit,Brand Manager,42,Sales and Marketing,Associate/Specialist,0.27,1.2,8,34,"Social Media Marketing} , {Creativity and Innovation} , {Negotiation and Persuasion} , {Sales Analytics and Reporting} , {Digital Marketing and Analytics} , {Customer Relationship Management (CRM)} , {Pricing Strategies and Competitive Analysis} , {Advertising and Promotions} , {Problem Solving and Decision Making",105000
Nikhel Patel,HR Manager,85,Human Resources (HR),Senior/Lead,0.48,6.7,10,62,"Business Acumen and Strategic Thinking} , {Employee Relations and Conflict Resolution} , {Confidentiality and Trustworthiness} , {Employee Engagement and Retention} , {Communication and Interpersonal Skills} , {HR Analytics and Reporting} , {Performance Management} , {Adaptability and Flexibility} , {Conflict Resolution and Mediation} , {HRIS (Human Resources Information System) Management",253000
Asmee Amin,Compensation and Benefits Specialist,78,Human Resources (HR),Senior/Lead,0.23,5.9,6,76,"Conflict Resolution and Mediation} , {Time Management and Organization} , {Training and Development} , {Recruitment and Selection} , {Employee Relations and Conflict Resolution} , {Ethical and Professional Conduct} , {Confidentiality and Trustworthiness} , {Employee Engagement and Retention} , {HR Compliance and Legal Knowledge} , {HR Analytics and Reporting} , {Adaptability and Flexibility} , {Employee Onboarding and Offboarding} , {Compensation and Benefits Administration",110000
Anuradha Seth,Digital Marketer,84,Sales and Marketing,Senior/Lead,0.22,7.2,15,59,"Sales Forecasting and Planning} , {Social Media Marketing} , {Product/Service Positioning and Branding} , {Problem Solving and Decision Making} , {Digital Marketing and Analytics} , {Time Management and Prioritization} , {Strategic Thinking and Planning} , {Leadership and Mentoring} , {Creativity and Innovation} , {Pricing Strategies and Competitive Analysis} , {Advertising and Promotions} , {Adaptability and Flexibility",113000
Valin Singh Ahuja,Market Research Analyst,91,Sales and Marketing,Mid-Level/Intermediate,0.75,4.4,17,98,"Relationship Building and Networking} , {Creativity and Innovation} , {Negotiation and Persuasion} , {Sales Analytics and Reporting} , {Digital Marketing and Analytics} , {Sales Funnel Management} , {Time Management and Prioritization} , {Communication and Interpersonal Skills} , {Customer Relationship Management (CRM)} , {Market Research and Analysis} , {Advertising and Promotions} , {Adaptability and Flexibility",103000
Shaila Bawa,Legal Assistant,94,Legal and Compliance,Associate/Specialist,0.83,2.3,5,69,"Mergers and Acquisitions} , {Time Management and Organization} , {Analytical and Critical Thinking} , {Employment Law and Labor Regulations} , {Litigation and Dispute Resolution} , {Regulatory Compliance} , {Intellectual Property Rights} , {Continuous Learning and Staying Updated with Legal Developments} , {Problem Solving and Decision Making} , {Data Privacy and Protection} , {Corporate Governance",64000
Reva Ghosh,Team Lead,92,Project Management,Associate/Specialist,0.78,3.2,7,85,"Quality Management} , {Risk Management} , {Budgeting and Financial Management} , {Contract and Procurement Management} , {Communication and Negotiation Skills} , {Strategic Thinking and Planning} , {Reporting and Documentation} , {Leadership and Team Management} , {Problem Solving and Decision Making} , {Conflict Resolution",93000
Ekalinga Singh,Corporate Counsel,98,Legal and Compliance,Mid-Level/Intermediate,0.26,5.9,8,41,"Mergers and Acquisitions} , {Legal Writing and Documentation} , {Time Management and Organization} , {Analytical and Critical Thinking} , {Employment Law and Labor Regulations} , {Litigation and Dispute Resolution} , {Regulatory Compliance} , {Risk Assessment and Management} , {Contract Drafting and Review} , {Intellectual Property Rights} , {Problem Solving and Decision Making",75000
Neesha Ranganathan,Software Engineer,78,Information Technology (IT),Senior/Lead,0.16,5.3,26,40,"Time Management and Organization} , {Programming and Software Development} , {Database Management} , {Problem Solving and Critical Thinking} , {IT Troubleshooting and Support} , {Leadership and Team Management} , {Communication and Collaboration} , {IT Project Management} , {Adaptability and Flexibility} , {Cybersecurity and Data Protection} , {Analytical and Data Interpretation Skills",105000
Kalynda Banerjee,Legal Assistant,79,Legal and Compliance,Entry Level/Junior,0.9,0.7,1,33,"Contract Drafting and Review} , {Corporate Governance} , {Legal Research and Analysis} , {Analytical and Critical Thinking",44000
Janisha Shah,Research Scientist,89,Research and Development (R&D),Senior/Lead,0.66,7.7,16,68,"Networking and Relationship Building} , {Quality Control and Assurance} , {Programming and Software Development} , {Strategic Thinking} , {Adaptability and Flexibility} , {Laboratory Techniques and Equipment} , {Data Analysis and Interpretation} , {Critical Thinking and Problem Solving} , {Creativity and Innovation} , {Time Management and Prioritization} , {Research Methodology and Design} , {Statistical Analysis and Modeling} , {Project Management",125000
Baasu Chabra,Software Engineer,81,Information Technology (IT),Associate/Specialist,0.39,3.8,12,77,"IT Service Management} , {Customer Service and Relationship Management} , {Database Management} , {Network and Infrastructure Management} , {Problem Solving and Critical Thinking} , {IT Troubleshooting and Support} , {Adaptability and Flexibility} , {Cybersecurity and Data Protection",90000
Atharv Rao,Financial Analyst,99,Finance and Accounting,Entry Level/Junior,0.5,0.9,0,32,"Time Management and Organization} , {Risk Management and Analysis} , {Auditing and Internal Controls} , {Cash Flow Management} , {Business Acumen and Strategic Thinking} , {Financial Statement Preparation",67000
Aditi Mehra Bhatia,IT Support Specialist,91,Information Technology (IT),Entry Level/Junior,0.46,1.0,3,74,"IT Risk Assessment and Mitigation} , {System Administration} , {Database Management} , {Problem Solving and Critical Thinking} , {IT Troubleshooting and Support} , {Cloud Computing",76000
Aadhira Bakshi,Digital Marketer,87,Sales and Marketing,Mid-Level/Intermediate,0.73,4.0,13,50,"Relationship Building and Networking} , {Social Media Marketing} , {Creativity and Innovation} , {Sales Analytics and Reporting} , {Digital Marketing and Analytics} , {Sales Funnel Management} , {Teamwork and Collaboration} , {Strategic Thinking and Planning} , {Pricing Strategies and Competitive Analysis} , {Communication and Interpersonal Skills} , {Market Research and Analysis} , {Advertising and Promotions",94000
Avanindra Ghosh,Warehouse Manager,65,Operations,Mid-Level/Intermediate,0.28,4.9,9,92,"Process Optimization and Efficiency} , {Data Analysis and Reporting} , {Strategic Thinking} , {Continuous Improvement Mindset} , {Inventory Management} , {Time Management and Prioritization} , {Negotiation and Conflict Resolution} , {Leadership and Team Management} , {Production Planning and Control} , {Communication and Collaboration} , {Lean Six Sigma} , {Cost Analysis and Budgeting",180000
Nikhel Parekh,HR Manager,77,Human Resources (HR),Senior/Lead,0.96,7.4,8,30,"Business Acumen and Strategic Thinking} , {Time Management and Organization} , {Problem Solving and Decision Making} , {Training and Development} , {Employee Relations and Conflict Resolution} , {Confidentiality and Trustworthiness} , {Employee Engagement and Retention} , {Empathy and Emotional Intelligence} , {HR Compliance and Legal Knowledge} , {Performance Management} , {Adaptability and Flexibility} , {Employee Onboarding and Offboarding",254000
Rachana Malhotra Sethi,Research Analyst,84,Research and Development (R&D),Senior/Lead,0.94,8.0,28,34,"Communication and Presentation Skills} , {Quality Control and Assurance} , {Programming and Software Development} , {Adaptability and Flexibility} , {Experimental Design and Prototyping} , {Data Analysis and Interpretation} , {Critical Thinking and Problem Solving} , {Creativity and Innovation} , {Time Management and Prioritization} , {Research Methodology and Design} , {Statistical Analysis and Modeling} , {Analytical Skills} , {Intellectual Property Management",121000
Bhoja Balakrishnan,Accountant,83,Finance and Accounting,Associate/Specialist,0.68,2.7,0,85,"Risk Management and Analysis} , {Auditing and Internal Controls} , {Cash Flow Management} , {Budgeting and Forecasting} , {Cost Accounting} , {Financial Modeling} , {Teamwork and Collaboration} , {Attention to Detail} , {Financial Analysis and Reporting} , {Ethical Conduct and Professionalism} , {Business Acumen and Strategic Thinking",90000
Anupriyaa Banerjee,Warehouse Manager,86,Operations,Mid-Level/Intermediate,0.24,3.7,14,33,"Customer Focus} , {Data Analysis and Reporting} , {Logistics and Transportation} , {Strategic Thinking} , {Risk Management} , {Inventory Management} , {Communication and Collaboration} , {Problem Solving and Decision Making} , {Cost Analysis and Budgeting",163000
Jeladhi Khan Siddiqui,Network Administrator,85,Information Technology (IT),Associate/Specialist,0.34,3.0,7,75,"IT Service Management} , {Database Management} , {Vendor Management and Contract Negotiation} , {Network and Infrastructure Management} , {Problem Solving and Critical Thinking} , {IT Troubleshooting and Support} , {IT Governance and Compliance} , {Cloud Computing} , {Continuous Learning and Professional Development} , {Cybersecurity and Data Protection} , {Analytical and Data Interpretation Skills",90000
Bhanu Burman,Public Relations Specialist,76,Sales and Marketing,Mid-Level/Intermediate,0.48,4.0,10,67,"Sales Forecasting and Planning} , {Sales Analytics and Reporting} , {Digital Marketing and Analytics} , {Adaptability and Flexibility} , {Teamwork and Collaboration} , {Time Management and Prioritization} , {Leadership and Mentoring} , {Pricing Strategies and Competitive Analysis} , {Advertising and Promotions} , {Problem Solving and Decision Making",93000
Dhaval Ahluwalia,Public Relations Specialist,99,Sales and Marketing,Entry Level/Junior,0.47,0.2,4,49,"Social Media Marketing} , {Digital Marketing and Analytics} , {Communication and Interpersonal Skills} , {Pricing Strategies and Competitive Analysis} , {Advertising and Promotions} , {Problem Solving and Decision Making",67000
Neena Mallick,Account Manager,85,Sales and Marketing,Associate/Specialist,0.37,2.8,4,72,"Creativity and Innovation} , {Product/Service Positioning and Branding} , {Digital Marketing and Analytics} , {Sales Funnel Management} , {Teamwork and Collaboration} , {Strategic Thinking and Planning} , {Pricing Strategies and Competitive Analysis} , {Customer Relationship Management (CRM)} , {Market Research and Analysis} , {Communication and Interpersonal Skills",163000
Avan Basu,Brand Manager,96,Sales and Marketing,Senior/Lead,0.45,8.3,27,78,"Relationship Building and Networking} , {Social Media Marketing} , {Creativity and Innovation} , {Product/Service Positioning and Branding} , {Negotiation and Persuasion} , {Sales Analytics and Reporting} , {Digital Marketing and Analytics} , {Adaptability and Flexibility} , {Leadership and Mentoring} , {Customer Relationship Management (CRM)} , {Pricing Strategies and Competitive Analysis} , {Advertising and Promotions} , {Problem Solving and Decision Making",156000
Hiral Gill,Help Desk Analyst,83,Customer Support,Senior/Lead,0.14,6.9,8,42,"Product Knowledge} , {Time Management and Organization} , {Empathy and Customer Focus} , {Quality Assurance and Call Monitoring} , {Positive Attitude and Professionalism} , {Conflict Resolution and Diplomacy} , {Customer Data Management} , {Knowledge Base and Self-Service Platforms} , {Multi-Channel Support (Phone, Chat, Email)} , {Remote Desktop and Screen Sharing} , {Adaptability and Flexibility} , {Troubleshooting and Problem Solving} , {Communication Tools (e.g., Live Chat, Email)",85000
Jai Dalal,Product Development Manager,92,Research and Development (R&D),Senior/Lead,0.82,7.5,16,76,"Quality Control and Assurance} , {Strategic Thinking} , {Experimental Design and Prototyping} , {Laboratory Techniques and Equipment} , {Data Analysis and Interpretation} , {Critical Thinking and Problem Solving} , {Networking and Relationship Building} , {Time Management and Prioritization} , {Adaptability and Flexibility} , {Statistical Analysis and Modeling} , {Project Management} , {Analytical Skills} , {Intellectual Property Management",126000
Reva Kulkarni,Accountant,92,Finance and Accounting,Senior/Lead,0.93,5.4,2,83,"Communication and Presentation Skills} , {Problem Solving and Decision Making} , {Analytical and Critical Thinking} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Continuous Learning and Keeping up with Regulatory Changes} , {Attention to Detail} , {Cash Flow Management} , {Budgeting and Forecasting} , {Financial Modeling} , {Financial Analysis and Reporting} , {Adaptability and Flexibility",114000
Amberlie Gupta,Treasury Analyst,88,Finance and Accounting,Associate/Specialist,0.43,1.3,0,50,"ERP (Enterprise Resource Planning) System Proficiency} , {Problem Solving and Decision Making} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Adaptability and Flexibility} , {Attention to Detail} , {Budgeting and Forecasting} , {Financial Modeling} , {Financial Analysis and Reporting} , {Financial Statement Preparation",80000
Balabhadra Gill,IT Support Specialist,86,Information Technology (IT),Associate/Specialist,0.29,3.7,9,31,"Programming and Software Development} , {Customer Service and Relationship Management} , {Vendor Management and Contract Negotiation} , {Network and Infrastructure Management} , {IT Troubleshooting and Support} , {IT Governance and Compliance} , {Continuous Learning and Professional Development} , {Cybersecurity and Data Protection",82000
Brahma Anthony,Marketing Manager,98,Sales and Marketing,Senior/Lead,0.32,8.1,16,48,"Relationship Building and Networking} , {Market Research and Analysis} , {Creativity and Innovation} , {Negotiation and Persuasion} , {Sales Funnel Management} , {Teamwork and Collaboration} , {Communication and Interpersonal Skills} , {Customer Relationship Management (CRM)} , {Pricing Strategies and Competitive Analysis} , {Advertising and Promotions} , {Adaptability and Flexibility",194000
Nalin Chadha,Team Lead,89,Project Management,Senior/Lead,0.65,5.7,27,37,"Project Monitoring and Control} , {Quality Management} , {Project Planning and Scheduling} , {Risk Management} , {Budgeting and Financial Management} , {Contract and Procurement Management} , {Communication and Negotiation Skills} , {Reporting and Documentation} , {Leadership and Team Management} , {Continuous Improvement and Learning} , {Problem Solving and Decision Making} , {Conflict Resolution} , {Change Management",108000
Pradeep Modi,Account Manager,86,Sales and Marketing,Senior/Lead,0.12,8.7,18,93,"Relationship Building and Networking} , {Market Research and Analysis} , {Social Media Marketing} , {Product/Service Positioning and Branding} , {Negotiation and Persuasion} , {Sales Analytics and Reporting} , {Digital Marketing and Analytics} , {Teamwork and Collaboration} , {Communication and Interpersonal Skills} , {Customer Relationship Management (CRM)} , {Pricing Strategies and Competitive Analysis} , {Time Management and Prioritization",205000
Tenzin Sengupta Das,Quality Control Analyst,86,Quality Assurance (QA),Entry Level/Junior,0.87,0.7,4,66,"Test Planning and Execution} , {Documentation and Standardization} , {Regulatory Compliance} , {Risk Assessment and Mitigation",150000
Dipili Khanna,Product Development Manager,81,Research and Development (R&D),Mid-Level/Intermediate,0.68,3.4,14,80,"Quality Control and Assurance} , {Strategic Thinking} , {Collaboration and Teamwork} , {Technical Writing and Documentation} , {Laboratory Techniques and Equipment} , {Data Analysis and Interpretation} , {Critical Thinking and Problem Solving} , {Time Management and Prioritization} , {Research Methodology and Design} , {Experimental Design and Prototyping} , {Networking and Relationship Building",101000
Neena Arya,HR Generalist,86,Human Resources (HR),Senior/Lead,0.09,8.1,7,68,"Business Acumen and Strategic Thinking} , {Time Management and Organization} , {Training and Development} , {Confidentiality and Trustworthiness} , {Employee Engagement and Retention} , {HR Compliance and Legal Knowledge} , {Leadership and Team Management} , {HR Analytics and Reporting} , {Problem Solving and Decision Making} , {Employee Onboarding and Offboarding} , {Compensation and Benefits Administration} , {HRIS (Human Resources Information System) Management",117000
Arivoli Das,Network Administrator,80,Information Technology (IT),Associate/Specialist,0.54,1.2,5,98,"IT Service Management} , {IT Risk Assessment and Mitigation} , {Customer Service and Relationship Management} , {Database Management} , {Network and Infrastructure Management} , {Problem Solving and Critical Thinking} , {IT Troubleshooting and Support} , {Leadership and Team Management} , {Cloud Computing} , {Continuous Learning and Professional Development} , {IT Project Management} , {Analytical and Data Interpretation Skills",91000
Deshan Khanna,Compensation and Benefits Specialist,89,Human Resources (HR),Senior/Lead,0.03,8.1,7,48,"Conflict Resolution and Mediation} , {Time Management and Organization} , {Problem Solving and Decision Making} , {Training and Development} , {Recruitment and Selection} , {Employee Relations and Conflict Resolution} , {Ethical and Professional Conduct} , {Confidentiality and Trustworthiness} , {Employee Engagement and Retention} , {Performance Management} , {Adaptability and Flexibility} , {Employee Onboarding and Offboarding} , {Compensation and Benefits Administration} , {HRIS (Human Resources Information System) Management",115000
Mayur Khanna,Production Supervisor,99,Operations,Senior/Lead,0.23,8.7,21,53,"Process Optimization and Efficiency} , {Supply Chain Management} , {Quality Control and Assurance} , {Strategic Thinking} , {Analytical Thinking} , {Risk Management} , {Continuous Improvement Mindset} , {Inventory Management} , {Production Planning and Control} , {Communication and Collaboration} , {Lean Six Sigma} , {Adaptability and Flexibility} , {Cost Analysis and Budgeting",199000
Ravanan Chauhan,Sales Representative,87,Sales and Marketing,Associate/Specialist,0.42,3.6,12,85,"Sales Forecasting and Planning} , {Product/Service Positioning and Branding} , {Negotiation and Persuasion} , {Sales Analytics and Reporting} , {Teamwork and Collaboration} , {Strategic Thinking and Planning} , {Leadership and Mentoring} , {Market Research and Analysis} , {Adaptability and Flexibility",88000
Bhumika Singh Khanna,Treasury Analyst,93,Finance and Accounting,Associate/Specialist,0.43,3.9,1,82,"Time Management and Organization} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Continuous Learning and Keeping up with Regulatory Changes} , {Auditing and Internal Controls} , {Teamwork and Collaboration} , {Budgeting and Forecasting} , {Attention to Detail} , {Financial Modeling} , {Financial Analysis and Reporting} , {Financial Statement Preparation",92000
Ajeya Nair Menon,Customer Service Representative,88,Customer Support,Senior/Lead,0.6,5.8,8,46,"Continuous Learning and Skill Enhancement} , {Ticketing Systems and CRM Software} , {Product Knowledge} , {Time Management and Organization} , {Patience and Resilience} , {Positive Attitude and Professionalism} , {Communication and Active Listening} , {Multi-Channel Support (Phone, Chat, Email)} , {Remote Desktop and Screen Sharing} , {Adaptability and Flexibility} , {Troubleshooting and Problem Solving} , {Communication Tools (e.g., Live Chat, Email)",82000
Heena Rao,Regulatory Affairs Specialist,84,Legal and Compliance,Mid-Level/Intermediate,0.74,3.8,8,69,"Legal Writing and Documentation} , {Legal Research and Analysis} , {Analytical and Critical Thinking} , {Employment Law and Labor Regulations} , {Litigation and Dispute Resolution} , {Regulatory Compliance} , {Attention to Detail} , {Risk Assessment and Management} , {Intellectual Property Rights} , {Continuous Learning and Staying Updated with Legal Developments} , {Problem Solving and Decision Making} , {Data Privacy and Protection} , {Corporate Governance",76000
Satish Bhasin,Financial Analyst,54,Finance and Accounting,Associate/Specialist,0.91,3.3,0,57,"ERP (Enterprise Resource Planning) System Proficiency} , {Analytical and Critical Thinking} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Adaptability and Flexibility} , {Continuous Learning and Keeping up with Regulatory Changes} , {Attention to Detail} , {Budgeting and Forecasting} , {Cost Accounting} , {Financial Modeling} , {Business Acumen and Strategic Thinking} , {Financial Statement Preparation",89000
Devdan Haldar,Training and Development Manager,79,Human Resources (HR),Mid-Level/Intermediate,0.49,5.8,3,77,"Conflict Resolution and Mediation} , {Business Acumen and Strategic Thinking} , {Time Management and Organization} , {Recruitment and Selection} , {Employee Relations and Conflict Resolution} , {Confidentiality and Trustworthiness} , {Employee Engagement and Retention} , {Leadership and Team Management} , {HR Compliance and Legal Knowledge} , {Performance Management} , {Communication and Interpersonal Skills} , {Employee Onboarding and Offboarding} , {Compensation and Benefits Administration} , {HRIS (Human Resources Information System) Management",105000
Ajay Joshi Sharma,HR Manager,89,Human Resources (HR),Mid-Level/Intermediate,0.05,5.8,3,49,"Business Acumen and Strategic Thinking} , {Time Management and Organization} , {Problem Solving and Decision Making} , {Employee Relations and Conflict Resolution} , {Leadership and Team Management} , {HR Analytics and Reporting} , {Empathy and Emotional Intelligence} , {Adaptability and Flexibility} , {Employee Onboarding and Offboarding} , {Compensation and Benefits Administration} , {HRIS (Human Resources Information System) Management",239000
Varoun Gupta,Marketing Manager,63,Sales and Marketing,Senior/Lead,0.38,8.2,34,32,"Sales Forecasting and Planning} , {Social Media Marketing} , {Creativity and Innovation} , {Product/Service Positioning and Branding} , {Digital Marketing and Analytics} , {Teamwork and Collaboration} , {Strategic Thinking and Planning} , {Communication and Interpersonal Skills} , {Leadership and Mentoring} , {Market Research and Analysis} , {Adaptability and Flexibility",191000
Nayantara Mangal,Financial Analyst,79,Finance and Accounting,Associate/Specialist,0.81,1.5,1,64,"Risk Management and Analysis} , {Tax Planning and Compliance} , {Adaptability and Flexibility} , {Continuous Learning and Keeping up with Regulatory Changes} , {Teamwork and Collaboration} , {Ethical Conduct and Professionalism} , {Budgeting and Forecasting} , {Cost Accounting} , {Financial Analysis and Reporting} , {Business Acumen and Strategic Thinking} , {Financial Statement Preparation",84000
Beeja Chakrabarti,Project Manager,78,Project Management,Associate/Specialist,0.57,3.4,11,78,"Quality Management} , {Resource Allocation and Management} , {Project Planning and Scheduling} , {Budgeting and Financial Management} , {Contract and Procurement Management} , {Stakeholder Management} , {Communication and Negotiation Skills} , {Reporting and Documentation} , {Continuous Improvement and Learning} , {Problem Solving and Decision Making",91000
Hanita Malhotra,Public Relations Specialist,51,Sales and Marketing,Mid-Level/Intermediate,0.68,4.5,19,82,"Relationship Building and Networking} , {Sales Forecasting and Planning} , {Product/Service Positioning and Branding} , {Negotiation and Persuasion} , {Sales Analytics and Reporting} , {Adaptability and Flexibility} , {Sales Funnel Management} , {Pricing Strategies and Competitive Analysis} , {Customer Relationship Management (CRM)} , {Market Research and Analysis} , {Advertising and Promotions} , {Communication and Interpersonal Skills} , {Leadership and Mentoring",101000
Charita Gokhale,Network Administrator,91,Information Technology (IT),Mid-Level/Intermediate,0.22,4.2,7,93,"IT Risk Assessment and Mitigation} , {Time Management and Organization} , {System Administration} , {Customer Service and Relationship Management} , {Vendor Management and Contract Negotiation} , {Network and Infrastructure Management} , {IT Troubleshooting and Support} , {Leadership and Team Management} , {Cloud Computing} , {Adaptability and Flexibility} , {Cybersecurity and Data Protection",102000
Vanita Chandra,Employee Relations Specialist,93,Human Resources (HR),Associate/Specialist,0.81,1.9,3,79,"Recruitment and Selection} , {Employee Relations and Conflict Resolution} , {Confidentiality and Trustworthiness} , {Employee Engagement and Retention} , {Business Acumen and Strategic Thinking} , {Performance Management} , {Adaptability and Flexibility} , {Employee Onboarding and Offboarding} , {HRIS (Human Resources Information System) Management",83000
Simla Nair Menon,Compliance Officer,83,Legal and Compliance,Associate/Specialist,0.07,3.7,2,73,"Legal Writing and Documentation} , {Analytical and Critical Thinking} , {Employment Law and Labor Regulations} , {Litigation and Dispute Resolution} , {Ethical Conduct and Professionalism} , {Risk Assessment and Management} , {Contract Drafting and Review} , {Intellectual Property Rights} , {Adaptability and Flexibility} , {Data Privacy and Protection",65000
